clip,method,frames,boundary_te,bd_te,outside_changed_fraction,outside_change_mean,extra_mask_ratio,inside_change_mean,residue_diff_le_10
lab-coat,Boundary-only,47,0.03148772194981575,0.03148772194981575,0.021303417161107063,0.004294846206903458,0.11237592995166779,0.3045358657836914,0.009561375714838505
lab-coat,Temporal union,47,0.04060171917080879,0.04060171917080879,0.3074144423007965,0.05170478671789169,3.304927349090576,0.3471384346485138,0.029851878061890602
lab-coat,Area-matched dilation,47,0.03053075633943081,0.03053075633943081,0.027041113004088402,0.005028260871767998,0.19533292949199677,0.30315738916397095,0.009409334510564804
lab-coat,Ours-Conservative,47,0.03053504042327404,0.03053504042327404,0.02741359733045101,0.0050901989452540874,0.19513039290905,0.30182453989982605,0.009329059161245823
lab-coat,Ours-Balanced,47,0.026476368308067322,0.026476368308067322,0.05186360329389572,0.008343381807208061,0.4868524372577667,0.2893751859664917,0.009527630172669888
libby,Boundary-only,49,0.04369489103555679,0.04369489103555679,0.004292730242013931,0.001478466554544866,0.46949994564056396,0.1595933437347412,0.11731797456741333
libby,Temporal union,49,0.03682658076286316,0.03682658076286316,0.026684578508138657,0.004077942576259375,4.1784257888793945,0.15664926171302795,0.11026851832866669
libby,Area-matched dilation,49,0.04345089942216873,0.04345089942216873,0.005232035648077726,0.0016122545348480344,0.7037563920021057,0.15965773165225983,0.11402057856321335
libby,Ours-Conservative,49,0.043386343866586685,0.043386343866586685,0.005535421893000603,0.0016403361223638058,0.7017736434936523,0.15981875360012054,0.11827347427606583
libby,Ours-Balanced,49,0.04157338663935661,0.04157338663935661,0.008494127541780472,0.002007649512961507,1.292623519897461,0.15893273055553436,0.11678105592727661
loading,Boundary-only,50,0.03306976705789566,0.03306976705789566,0.025546221062541008,0.005120375193655491,0.1070956215262413,0.2256583273410797,0.06367537379264832
loading,Temporal union,50,0.03331988304853439,0.03331988304853439,0.34341540932655334,0.06582707166671753,1.4259191751480103,0.17677342891693115,0.0751790776848793
loading,Area-matched dilation,50,0.03216410055756569,0.03216410055756569,0.036399438977241516,0.0067207543179392815,0.183942511677742,0.23779073357582092,0.05776932090520859
loading,Ours-Conservative,50,0.03219589963555336,0.03219589963555336,0.03698881343007088,0.0068554989993572235,0.18306437134742737,0.24294725060462952,0.06087211146950722
loading,Ours-Balanced,50,0.030793076381087303,0.030793076381087303,0.08165958523750305,0.013248711824417114,0.4413992762565613,0.2327481210231781,0.054836444556713104
mbike-trick,Boundary-only,79,0.018941910937428474,0.018941910937428474,0.004163785371929407,0.0018407549941912293,0.23174422979354858,0.2931356430053711,0.05291058123111725
mbike-trick,Temporal union,79,0.02219678834080696,0.02219678834080696,0.15537862479686737,0.02517607994377613,10.545811653137207,0.2751242518424988,0.056586287915706635
mbike-trick,Area-matched dilation,79,0.01848713681101799,0.01848713681101799,0.004895091522485018,0.0019302082946524024,0.3582317531108856,0.2966237962245941,0.05125640332698822
mbike-trick,Ours-Conservative,79,0.017850831151008606,0.017850831151008606,0.004870278760790825,0.001923248404636979,0.36054283380508423,0.29630762338638306,0.0521809421479702
mbike-trick,Ours-Balanced,79,0.01791747845709324,0.01791747845709324,0.009646682068705559,0.0025579745415598154,0.9107406139373779,0.3000136613845825,0.051283642649650574
motocross-jump,Boundary-only,40,0.07218986004590988,0.07218986004590988,0.030200928449630737,0.0050658262334764,0.2049705535173416,0.25957271456718445,0.08366236090660095
motocross-jump,Temporal union,40,0.0538104772567749,0.0538104772567749,0.8357316255569458,0.18463711440563202,9.776556015014648,0.15551027655601501,0.07325912266969681
motocross-jump,Area-matched dilation,40,0.07234711945056915,0.07234711945056915,0.02844526804983616,0.004808319266885519,0.2997221350669861,0.25702211260795593,0.08358351141214371
motocross-jump,Ours-Conservative,40,0.07659731805324554,0.07659731805324554,0.029727380722761154,0.004859467502683401,0.3011492192745209,0.24925470352172852,0.08513367176055908
motocross-jump,Ours-Balanced,40,0.07052408158779144,0.07052408158779144,0.04490519315004349,0.007231827825307846,0.7421645522117615,0.25497230887413025,0.0845533087849617
paragliding-launch,Boundary-only,80,0.012624111957848072,0.012624111957848072,0.009094906039536,0.0035356960725039244,2.0990920066833496,0.20949086546897888,0.2711848318576813
paragliding-launch,Temporal union,80,0.012256020680069923,0.012256020680069923,0.05923593044281006,0.009100466966629028,5.848761081695557,0.21400289237499237,0.22666963934898376
paragliding-launch,Area-matched dilation,80,0.013410868123173714,0.013410868123173714,0.00703989714384079,0.0031349570490419865,1.0253942012786865,0.2075306475162506,0.27369362115859985
paragliding-launch,Ours-Conservative,80,0.013081449083983898,0.013081449083983898,0.008316854014992714,0.00336837163195014,0.9307790994644165,0.20928192138671875,0.2719109356403351
paragliding-launch,Ours-Balanced,80,0.012072617188096046,0.012072617188096046,0.011657687835395336,0.00400314386934042,2.74735689163208,0.2100706845521927,0.2691115438938141
parkour,Boundary-only,100,0.049214091151952744,0.049214091151952744,0.009013792499899864,0.0038283474277704954,0.284874826669693,0.2730116546154022,0.02140050381422043
parkour,Temporal union,100,0.0361642949283123,0.0361642949283123,0.08718537539243698,0.014133106917142868,6.076766490936279,0.2676888704299927,0.01908830553293228
parkour,Area-matched dilation,100,0.049252044409513474,0.049252044409513474,0.009694039821624756,0.003918081987649202,0.36822250485420227,0.2728510797023773,0.021264851093292236
parkour,Ours-Conservative,100,0.04942185804247856,0.04942185804247856,0.010105428285896778,0.003959283698350191,0.3665044903755188,0.2718158960342407,0.02186596393585205
parkour,Ours-Balanced,100,0.047043606638908386,0.047043606638908386,0.01572532393038273,0.004644823260605335,0.8622372150421143,0.2733933925628662,0.020938850939273834
pigs,Boundary-only,79,0.02394252084195614,0.02394252084195614,0.031501494348049164,0.0052802287973463535,0.12041042745113373,0.28729769587516785,0.054322924464941025
pigs,Temporal union,79,0.022378480061888695,0.022378480061888695,0.19362904131412506,0.026522358879446983,0.8148303627967834,0.26186367869377136,0.054939210414886475
pigs,Area-matched dilation,79,0.023452434688806534,0.023452434688806534,0.04056311398744583,0.006309425458312035,0.19511422514915466,0.2873692214488983,0.053651127964258194
pigs,Ours-Conservative,79,0.023145407438278198,0.023145407438278198,0.04118042811751366,0.0063409218564629555,0.19309164583683014,0.2876660227775574,0.05154585465788841
pigs,Ours-Balanced,79,0.020682483911514282,0.020682483911514282,0.07349751889705658,0.010005415417253971,0.3640354871749878,0.29483044147491455,0.05212875455617905
scooter-black,Boundary-only,43,0.1226644441485405,0.1226644441485405,0.012710369192063808,0.003448980860412121,0.19391295313835144,0.3706936538219452,0.0470423586666584
scooter-black,Temporal union,43,0.10068046301603317,0.10068046301603317,0.11194780468940735,0.023610034957528114,5.6558146476745605,0.3692978322505951,0.04267645254731178
scooter-black,Area-matched dilation,43,0.12394905090332031,0.12394905090332031,0.01411813497543335,0.0036652565468102694,0.27631017565727234,0.3715324103832245,0.04725310951471329
